Prior[0] 0.500390808191 Prior[1] 0.499609191809
extortion 0 0.000624414611302 1 0.000312695434647
types 0 0.000624414611302 1 0.00093808630394
period 0 0.00374648766781 1 0.00375234521576
colorfully 0 0.000312207305651 1 0.000625390869293
effective 0 0.000936621916953 1 0.00406504065041
wins 0 0.0012488292226 1 0.00125078173859
romped 0 0.000312207305651 1 0.000625390869293
jaggers 0 0.000624414611302 1 0.000625390869293
sarcasm 0 0.000312207305651 1 0.000625390869293
presiding 0 0.000624414611302 1 0.000312695434647
teleprompter 0 0.000624414611302 1 0.000312695434647
sickening 0 0.000624414611302 1 0.000312695434647
alias 0 0.000312207305651 1 0.00093808630394
18th 0 0.000624414611302 1 0.000312695434647
snowballs 0 0.000312207305651 1 0.00093808630394
keeps 0 0.00312207305651 1 0.00375234521576
hopkinsdoesnt 0 0.000624414611302 1 0.000312695434647
democratic 0 0.000312207305651 1 0.000625390869293
nonsensical 0 0.0012488292226 1 0.000312695434647
wing 0 0.000936621916953 1 0.000312695434647
backdrop 0 0.000624414611302 1 0.00156347717323
wine 0 0.000312207305651 1 0.00093808630394
sprawling 0 0.000624414611302 1 0.000625390869293
afterwards 0 0.000624414611302 1 0.000625390869293
welcomed 0 0.000312207305651 1 0.000625390869293
dreamed 0 0.000624414611302 1 0.000625390869293
misdemeanor 0 0.000624414611302 1 0.000312695434647
vary 0 0.000312207305651 1 0.000625390869293
benefited 0 0.000312207305651 1 0.000625390869293
sunshine 0 0.000936621916953 1 0.000625390869293
rewarded 0 0.000624414611302 1 0.00187617260788
marginalization 0 0.000624414611302 1 0.000312695434647
wrought 0 0.000312207305651 1 0.00093808630394
dreamer 0 0.000624414611302 1 0.000312695434647
admirably 0 0.000936621916953 1 0.000625390869293
conned 0 0.000312207305651 1 0.000625390869293
wickedly 0 0.000624414611302 1 0.00187617260788
fit 0 0.00187324383391 1 0.00187617260788
bringing 0 0.000624414611302 1 0.00187617260788
fix 0 0.000936621916953 1 0.000312695434647
charmers 0 0.000312207305651 1 0.000625390869293
survivors 0 0.000624414611302 1 0.00125078173859
distinguishing 0 0.000624414611302 1 0.000312695434647
insubstantial 0 0.000624414611302 1 0.000312695434647
accentuating 0 0.000624414611302 1 0.000312695434647
hidden 0 0.000312207305651 1 0.000625390869293
admirable 0 0.00187324383391 1 0.00250156347717
easier 0 0.00156103652825 1 0.00093808630394
fil 0 0.000624414611302 1 0.000312695434647
undercut 0 0.000624414611302 1 0.000312695434647
incongruous 0 0.000624414611302 1 0.000312695434647
sinuously 0 0.000624414611302 1 0.000312695434647
vainglorious 0 0.000624414611302 1 0.000312695434647
crypt 0 0.000936621916953 1 0.000312695434647
detachment 0 0.000624414611302 1 0.000312695434647
effects 0 0.00655635341867 1 0.00656660412758
beaut 0 0.000312207305651 1 0.000625390869293
schools 0 0.000312207305651 1 0.000625390869293
mimicking 0 0.000312207305651 1 0.000625390869293
undeveloped 0 0.000936621916953 1 0.000312695434647
silver 0 0.000312207305651 1 0.00125078173859
ebullient 0 0.000624414611302 1 0.000625390869293
represents 0 0.00218545113956 1 0.00156347717323
waldo 0 0.000624414611302 1 0.000312695434647
clumsy 0 0.00156103652825 1 0.00093808630394
whacking 0 0.000312207305651 1 0.000625390869293
horton 0 0.000624414611302 1 0.000312695434647
seamstress 0 0.000312207305651 1 0.000625390869293
debut 0 0.00530752419607 1 0.00562851782364
bu駏els 0 0.000312207305651 1 0.000625390869293
disconnection 0 0.000312207305651 1 0.000625390869293
averse 0 0.000312207305651 1 0.000625390869293
interfering 0 0.000312207305651 1 0.000625390869293
development 0 0.00156103652825 1 0.00125078173859
preceded 0 0.000312207305651 1 0.000625390869293
financial 0 0.000624414611302 1 0.000312695434647
telescope 0 0.000312207305651 1 0.000625390869293
knockout 0 0.000936621916953 1 0.000312695434647
series 0 0.0106150483921 1 0.00312695434647
spider 0 0.000312207305651 1 0.00218886804253
rally 0 0.000624414611302 1 0.000312695434647
haber 0 0.000624414611302 1 0.000312695434647
laboratory 0 0.000312207305651 1 0.000625390869293
whit 0 0.000312207305651 1 0.000625390869293
whir 0 0.000624414611302 1 0.000312695434647
message 0 0.00593193880737 1 0.00625390869293
whip 0 0.000312207305651 1 0.000625390869293
misfortune 0 0.000936621916953 1 0.000312695434647
diction 0 0.000312207305651 1 0.000625390869293
touts 0 0.000624414611302 1 0.000312695434647
smirk 0 0.000624414611302 1 0.000625390869293
excepting 0 0.000624414611302 1 0.000312695434647
pollyana 0 0.000624414611302 1 0.000312695434647
alex 0 0.000624414611302 1 0.000312695434647
urbane 0 0.000312207305651 1 0.000625390869293
rd 0 0.000624414611302 1 0.000312695434647
re 0 0.0012488292226 1 0.00187617260788
encourage 0 0.000312207305651 1 0.000625390869293
dicaprios 0 0.000312207305651 1 0.000625390869293
rb 0 0.000624414611302 1 0.000312695434647
millions 0 0.000624414611302 1 0.000625390869293
misperception 0 0.000312207305651 1 0.000625390869293
swoony 0 0.000624414611302 1 0.000312695434647
foundation 0 0.000936621916953 1 0.000625390869293
abbott 0 0.000624414611302 1 0.000312695434647
assured 0 0.000936621916953 1 0.00218886804253
superlarge 0 0.000312207305651 1 0.000625390869293
threatened 0 0.000312207305651 1 0.000625390869293
given 0 0.00468310958476 1 0.00343964978111
mindedly 0 0.000312207305651 1 0.000625390869293
expressiveness 0 0.000312207305651 1 0.000625390869293
ian 0 0.000624414611302 1 0.00093808630394
encountering 0 0.000312207305651 1 0.000625390869293
sandra 0 0.00156103652825 1 0.00093808630394
bollywoodhollywood 0 0.000312207305651 1 0.000625390869293
universally 0 0.000624414611302 1 0.000312695434647
enormous 0 0.000624414611302 1 0.00156347717323
ate 0 0.000624414611302 1 0.000312695434647
bates 0 0.000312207305651 1 0.000625390869293
exposing 0 0.000624414611302 1 0.000625390869293
sickeningly 0 0.000312207305651 1 0.000625390869293
ups 0 0.00187324383391 1 0.00125078173859
shelved 0 0.000624414611302 1 0.000312695434647
secretions 0 0.000312207305651 1 0.000625390869293
musicians 0 0.000624414611302 1 0.000625390869293
speedy 0 0.000312207305651 1 0.000625390869293
tempting 0 0.000624414611302 1 0.000625390869293
1970s 0 0.000936621916953 1 0.000312695434647
reserving 0 0.000312207305651 1 0.000625390869293
unflappable 0 0.000312207305651 1 0.000625390869293
caught 0 0.000936621916953 1 0.000625390869293
speeds 0 0.000624414611302 1 0.000625390869293
stripe 0 0.000312207305651 1 0.000625390869293
relentlessness 0 0.000624414611302 1 0.000312695434647
elmo 0 0.000624414611302 1 0.000312695434647
wasp 0 0.000312207305651 1 0.000625390869293
subtlety 0 0.0012488292226 1 0.00093808630394
playfully 0 0.000312207305651 1 0.000625390869293
veggie 0 0.000624414611302 1 0.000312695434647
sallies 0 0.000312207305651 1 0.000625390869293
wash 0 0.000312207305651 1 0.00093808630394
seinfeld 0 0.000624414611302 1 0.00156347717323
infused 0 0.000312207305651 1 0.000625390869293
niccols 0 0.000312207305651 1 0.000625390869293
clarity 0 0.0012488292226 1 0.00250156347717
170 0 0.000312207305651 1 0.000625390869293
seizures 0 0.000624414611302 1 0.000312695434647
olds 0 0.000936621916953 1 0.000312695434647
basketball 0 0.000624414611302 1 0.000625390869293
nigh 0 0.000624414611302 1 0.000312695434647
service 0 0.000936621916953 1 0.00187617260788
similarly 0 0.000936621916953 1 0.00093808630394
monsterous 0 0.000624414611302 1 0.000312695434647
needed 0 0.00280986575086 1 0.00250156347717
unexplainable 0 0.000312207305651 1 0.00093808630394
master 0 0.00156103652825 1 0.00281425891182
switchblade 0 0.000624414611302 1 0.000312695434647
architect 0 0.000312207305651 1 0.000625390869293
euro 0 0.000312207305651 1 0.000625390869293
bitter 0 0.00187324383391 1 0.00093808630394
ranging 0 0.000312207305651 1 0.00093808630394
hewitt 0 0.000936621916953 1 0.000312695434647
snoots 0 0.000624414611302 1 0.000312695434647
danish 0 0.000624414611302 1 0.000312695434647
rewards 0 0.000312207305651 1 0.00250156347717
enthrall 0 0.000312207305651 1 0.000625390869293
predictably 0 0.0012488292226 1 0.00093808630394
gothic 0 0.000624414611302 1 0.00093808630394
convention 0 0.000624414611302 1 0.000312695434647
wisdom 0 0.000312207305651 1 0.00125078173859
task 0 0.0012488292226 1 0.000625390869293
predictable 0 0.00905401186388 1 0.0046904315197
masala 0 0.000624414611302 1 0.00093808630394
white 0 0.00249765844521 1 0.00406504065041
positively 0 0.0012488292226 1 0.00093808630394
b閍rt 0 0.000312207305651 1 0.00093808630394
trek 0 0.00156103652825 1 0.00093808630394
peril 0 0.000312207305651 1 0.000625390869293
tree 0 0.000624414611302 1 0.000312695434647
rusty 0 0.000624414611302 1 0.000312695434647
project 0 0.00624414611302 1 0.00312695434647
percentages 0 0.000624414611302 1 0.000312695434647
endure 0 0.0012488292226 1 0.00125078173859
ruzowitzky 0 0.000312207305651 1 0.000625390869293
feeling 0 0.00530752419607 1 0.00625390869293
este 0 0.000936621916953 1 0.000312695434647
unintended 0 0.000624414611302 1 0.000312695434647
acclaim 0 0.000312207305651 1 0.000625390869293
esta 0 0.000624414611302 1 0.000312695434647
exploring 0 0.00156103652825 1 0.000625390869293
runner 0 0.0012488292226 1 0.00125078173859
boston 0 0.000312207305651 1 0.000625390869293
regime 0 0.000624414611302 1 0.000312695434647
untrained 0 0.000312207305651 1 0.000625390869293
lethal 0 0.000624414611302 1 0.000312695434647
longo 0 0.000624414611302 1 0.000312695434647
corny 0 0.000624414611302 1 0.000625390869293
constricted 0 0.000624414611302 1 0.000312695434647
dozen 0 0.000624414611302 1 0.000312695434647
pompous 0 0.0012488292226 1 0.000312695434647
wholesome 0 0.000624414611302 1 0.00093808630394
concrete 0 0.000312207305651 1 0.000625390869293
uncouth 0 0.000624414611302 1 0.000312695434647
eagerly 0 0.000312207305651 1 0.000625390869293
recommended 0 0.000624414611302 1 0.00093808630394
causing 0 0.000624414611302 1 0.000312695434647
absorbed 0 0.000312207305651 1 0.00125078173859
amusing 0 0.00530752419607 1 0.00781738586617
doors 0 0.000936621916953 1 0.000625390869293
hum 0 0.000936621916953 1 0.000312695434647
grips 0 0.000312207305651 1 0.000625390869293
reverberates 0 0.000312207305651 1 0.000625390869293
thrilled 0 0.000624414611302 1 0.000312695434647
screwing 0 0.000624414611302 1 0.000312695434647
object 0 0.000312207305651 1 0.00125078173859
cinematic 0 0.00655635341867 1 0.00906816760475
resonates 0 0.000312207305651 1 0.000625390869293
disjointed 0 0.00187324383391 1 0.00093808630394
affirmation 0 0.000312207305651 1 0.000625390869293
gallagher 0 0.000624414611302 1 0.000312695434647
addict 0 0.000312207305651 1 0.00093808630394
reverence 0 0.000936621916953 1 0.000312695434647
thriller 0 0.00905401186388 1 0.015009380863
morality 0 0.0012488292226 1 0.00156347717323
expound 0 0.000312207305651 1 0.000625390869293
singer 0 0.000624414611302 1 0.000312695434647
stupid 0 0.00499531689042 1 0.00093808630394
episode 0 0.00312207305651 1 0.00093808630394
antitrust 0 0.000624414611302 1 0.000312695434647
professor 0 0.000936621916953 1 0.000312695434647
camp 0 0.0012488292226 1 0.00187617260788
horroraction 0 0.000624414611302 1 0.000312695434647
alas 0 0.00187324383391 1 0.000312695434647
tech 0 0.00156103652825 1 0.000625390869293
detriment 0 0.000936621916953 1 0.000312695434647
cama 0 0.000624414611302 1 0.000312695434647
scream 0 0.0012488292226 1 0.00093808630394
came 0 0.00156103652825 1 0.00125078173859
marvel 0 0.000624414611302 1 0.00250156347717
incorporate 0 0.000624414611302 1 0.000625390869293
chirpy 0 0.000624414611302 1 0.000312695434647
prim 0 0.000312207305651 1 0.000625390869293
larded 0 0.000624414611302 1 0.000312695434647
meetings 0 0.000312207305651 1 0.000625390869293
nominated 0 0.000624414611302 1 0.00093808630394
padded 0 0.000624414611302 1 0.000625390869293
baja 0 0.000312207305651 1 0.000625390869293
indulges 0 0.000624414611302 1 0.000312695434647
hazy 0 0.000936621916953 1 0.000312695434647
sexism 0 0.000624414611302 1 0.000625390869293
falsehoods 0 0.000624414611302 1 0.000312695434647
caper 0 0.0012488292226 1 0.00218886804253
orleans 0 0.000312207305651 1 0.00093808630394
touches 0 0.000624414611302 1 0.00187617260788
busy 0 0.00187324383391 1 0.000312695434647
herbivore 0 0.000312207305651 1 0.000625390869293
regurgitates 0 0.000624414611302 1 0.000312695434647
itinerant 0 0.000312207305651 1 0.000625390869293
quaint 0 0.000624414611302 1 0.000625390869293
louiso 0 0.000624414611302 1 0.000312695434647
bust 0 0.000936621916953 1 0.000625390869293
than 0 0.0711832656884 1 0.0506566604128
theme 0 0.00187324383391 1 0.00218886804253
bliss 0 0.000312207305651 1 0.000625390869293
touched 0 0.000936621916953 1 0.00093808630394
rich 0 0.0012488292226 1 0.00594121325829
telegrams 0 0.000312207305651 1 0.000625390869293
rice 0 0.0012488292226 1 0.000312695434647
lady 0 0.000936621916953 1 0.00093808630394
plate 0 0.000312207305651 1 0.000625390869293
godzilla 0 0.000936621916953 1 0.000312695434647
culkin 0 0.000624414611302 1 0.000625390869293
breillats 0 0.000312207305651 1 0.000625390869293
plato 0 0.000624414611302 1 0.000312695434647
terrors 0 0.000624414611302 1 0.000312695434647
foremost 0 0.000312207305651 1 0.00093808630394
sniping 0 0.000624414611302 1 0.000312695434647
cushion 0 0.000624414611302 1 0.000625390869293
altogether 0 0.0012488292226 1 0.00093808630394
tawdry 0 0.000936621916953 1 0.000312695434647
droning 0 0.000624414611302 1 0.000312695434647
profoundly 0 0.000312207305651 1 0.00125078173859
lurches 0 0.000624414611302 1 0.000312695434647
avenges 0 0.000624414611302 1 0.000312695434647
greens 0 0.000936621916953 1 0.000312695434647
fundamentalists 0 0.000624414611302 1 0.000312695434647
nicely 0 0.000624414611302 1 0.00281425891182
ever 0 0.0115516703091 1 0.0156347717323
patch 0 0.00156103652825 1 0.000312695434647
greene 0 0.000312207305651 1 0.000625390869293
eyelids 0 0.000936621916953 1 0.000312695434647
qatsi 0 0.000312207305651 1 0.000625390869293
stunningly 0 0.000624414611302 1 0.000312695434647
release 0 0.00187324383391 1 0.00156347717323
wearisome 0 0.000936621916953 1 0.000312695434647
respond 0 0.000624414611302 1 0.000625390869293
traverse 0 0.000312207305651 1 0.000625390869293
disaster 0 0.00218545113956 1 0.00093808630394
fair 0 0.00156103652825 1 0.00187617260788
personas 0 0.000624414611302 1 0.00093808630394
sensitivity 0 0.000312207305651 1 0.00156347717323
b黷tner 0 0.000312207305651 1 0.000625390869293
agradecido 0 0.000312207305651 1 0.000625390869293
stumblings 0 0.000312207305651 1 0.000625390869293
bled 0 0.000624414611302 1 0.000312695434647
expedience 0 0.000624414611302 1 0.000312695434647
result 0 0.00405869497346 1 0.00250156347717
erika 0 0.000312207305651 1 0.000625390869293
fail 0 0.0012488292226 1 0.000625390869293
hammer 0 0.000936621916953 1 0.000312695434647
best 0 0.0128004995317 1 0.0334584115072
playfulness 0 0.000312207305651 1 0.000625390869293
ambitions 0 0.000936621916953 1 0.000312695434647
lots 0 0.00218545113956 1 0.00375234521576
ringu 0 0.000624414611302 1 0.00125078173859
rings 0 0.000936621916953 1 0.00156347717323
injuries 0 0.000624414611302 1 0.000625390869293
intentioned 0 0.00156103652825 1 0.00093808630394
score 0 0.0012488292226 1 0.00250156347717
conceptual 0 0.000624414611302 1 0.000312695434647
occupational 0 0.000312207305651 1 0.000625390869293
jumpsuit 0 0.000624414611302 1 0.000312695434647
pirate 0 0.000624414611302 1 0.000312695434647
skimpy 0 0.000936621916953 1 0.000312695434647
claws 0 0.000312207305651 1 0.00093808630394
screwball 0 0.000936621916953 1 0.000625390869293
felons 0 0.000624414611302 1 0.000312695434647
parallels 0 0.000312207305651 1 0.00093808630394
nature 0 0.00249765844521 1 0.00500312695435
rolled 0 0.000624414611302 1 0.000625390869293
m醩 0 0.000312207305651 1 0.00125078173859
behans 0 0.000624414611302 1 0.00093808630394
twinkling 0 0.000312207305651 1 0.000625390869293
unseemly 0 0.000624414611302 1 0.000625390869293
conflagration 0 0.000312207305651 1 0.000625390869293
megaplexes 0 0.000624414611302 1 0.000312695434647
guess 0 0.00218545113956 1 0.00093808630394
carbon 0 0.000624414611302 1 0.000312695434647
debt 0 0.000624414611302 1 0.000625390869293
roller 0 0.000624414611302 1 0.00093808630394
pity 0 0.00156103652825 1 0.00125078173859
dysfunctionally 0 0.000312207305651 1 0.000625390869293
accident 0 0.000312207305651 1 0.00093808630394
sacrificing 0 0.000312207305651 1 0.000625390869293
disdain 0 0.000624414611302 1 0.000312695434647
country 0 0.00405869497346 1 0.00281425891182
damsels 0 0.000312207305651 1 0.000625390869293
conclusions 0 0.000624414611302 1 0.000312695434647
clich�s 0 0.00249765844521 1 0.000312695434647
adventures 0 0.000936621916953 1 0.000312695434647
odds 0 0.000624414611302 1 0.00156347717323
planned 0 0.000624414611302 1 0.000625390869293
lookin 0 0.000312207305651 1 0.00093808630394
logic 0 0.00156103652825 1 0.00125078173859
installments 0 0.000624414611302 1 0.000312695434647
epis�dio 0 0.000624414611302 1 0.000312695434647
clich�d 0 0.00156103652825 1 0.000312695434647
adapted 0 0.000624414611302 1 0.00093808630394
perd鉶 0 0.000312207305651 1 0.000625390869293
rehash 0 0.000936621916953 1 0.000312695434647
alternate 0 0.000624414611302 1 0.000312695434647
vain 0 0.000936621916953 1 0.000625390869293
boosterism 0 0.000624414611302 1 0.000312695434647
blutarsky 0 0.000624414611302 1 0.000312695434647
dorm 0 0.000624414611302 1 0.000312695434647
infants 0 0.000624414611302 1 0.000312695434647
blending 0 0.000624414611302 1 0.000312695434647
pregnancy 0 0.000624414611302 1 0.000312695434647
blonde 0 0.000936621916953 1 0.000312695434647
smackdown 0 0.000624414611302 1 0.000312695434647
underdone 0 0.000624414611302 1 0.000312695434647
startles 0 0.000312207305651 1 0.000625390869293
milquetoast 0 0.000624414611302 1 0.000312695434647
reconsideration 0 0.000312207305651 1 0.00093808630394
eckstraordinarily 0 0.000624414611302 1 0.000312695434647
addessi 0 0.000312207305651 1 0.000625390869293
advert 0 0.000624414611302 1 0.000312695434647
much 0 0.0452700593194 1 0.0306441525954
makhmalbaf 0 0.000624414611302 1 0.000312695434647
wyman 0 0.000312207305651 1 0.000625390869293
stadium 0 0.000624414611302 1 0.000312695434647
deliberately 0 0.000624414611302 1 0.00093808630394
superhuman 0 0.000624414611302 1 0.000312695434647
mothball 0 0.000312207305651 1 0.000625390869293
adroitly 0 0.000312207305651 1 0.00125078173859
incompetent 0 0.000936621916953 1 0.000625390869293
cub 0 0.000312207305651 1 0.000625390869293
dots 0 0.000624414611302 1 0.00125078173859
conversational 0 0.000624414611302 1 0.000312695434647
life 0 0.0159225725882 1 0.03095684803
headly 0 0.000312207305651 1 0.000625390869293
spit 0 0.000936621916953 1 0.000312695434647
eastern 0 0.000312207305651 1 0.000625390869293
arkin 0 0.000312207305651 1 0.000625390869293
courtney 0 0.000624414611302 1 0.000312695434647
